trial_id,task,cumulative_examples_seen,test_attempt,test_success,failure_type,in_distribution,attempt_duration
1,tube_to_vortexer,10,1,0,dropped,yes,8.82
2,tube_to_vortexer,10,2,0,missed_target,yes,7.08
3,tube_to_vortexer,10,3,0,timeout,yes,4.98
4,tube_to_vortexer,10,4,1,,yes,7.26
5,tube_to_vortexer,10,5,0,dropped,yes,7.13
6,tube_to_vortexer,10,6,0,grip_failure,yes,7.21
7,tube_to_vortexer,10,7,0,dropped,yes,5.41
8,tube_to_vortexer,10,8,0,missed_target,yes,7.16
9,tube_to_vortexer,10,9,1,,yes,8.33
10,tube_to_vortexer,10,10,0,grip_failure,yes,6.85
11,tube_to_vortexer,10,11,0,timeout,yes,8.63
12,tube_to_vortexer,10,12,0,missed_target,yes,9.25
13,tube_to_vortexer,10,13,0,grip_failure,yes,4.96
14,tube_to_vortexer,10,14,1,,yes,9.68
15,tube_to_vortexer,10,15,0,grip_failure,yes,6.47
16,tube_to_vortexer,10,16,0,timeout,yes,7.76
17,tube_to_vortexer,10,17,0,dropped,yes,9.23
18,tube_to_vortexer,10,18,0,missed_target,yes,6.17
19,tube_to_vortexer,25,1,0,grip_failure,yes,8.33
20,tube_to_vortexer,25,2,0,grip_failure,yes,9.32
21,tube_to_vortexer,25,3,0,grip_failure,yes,7.83
22,tube_to_vortexer,25,4,0,missed_target,yes,7.55
23,tube_to_vortexer,25,5,0,grip_failure,yes,5.98
24,tube_to_vortexer,25,6,0,dropped,yes,6.68
25,tube_to_vortexer,25,7,0,dropped,yes,6.98
26,tube_to_vortexer,25,8,1,,yes,8.92
27,tube_to_vortexer,25,9,0,dropped,yes,9.4
28,tube_to_vortexer,25,10,0,missed_target,yes,9.02
29,tube_to_vortexer,25,11,0,dropped,yes,6.66
30,tube_to_vortexer,25,12,0,missed_target,yes,7.83
31,tube_to_vortexer,25,13,0,timeout,yes,5.64
32,tube_to_vortexer,25,14,0,timeout,yes,8.96
33,tube_to_vortexer,25,15,1,,yes,9.46
34,tube_to_vortexer,25,16,0,timeout,yes,9.19
35,tube_to_vortexer,25,17,0,timeout,yes,4.07
36,tube_to_vortexer,25,18,1,,yes,9.23
37,tube_to_vortexer,50,1,1,,yes,8.13
38,tube_to_vortexer,50,2,0,grip_failure,yes,7.55
39,tube_to_vortexer,50,3,0,dropped,yes,7.2
40,tube_to_vortexer,50,4,0,grip_failure,yes,5.76
41,tube_to_vortexer,50,5,0,timeout,yes,6.79
42,tube_to_vortexer,50,6,0,dropped,yes,7.25
43,tube_to_vortexer,50,7,0,dropped,yes,8.39
44,tube_to_vortexer,50,8,1,,yes,8.47
